category,task_name,initial_status,count
Spatial,select_toy_spatial,C1_qwen_guided_condition_failure,53
M&T,select_billiards,C1_qwen_guided_condition_failure,26
Spatial,select_billiards_spatial,C1_qwen_guided_condition_failure,24
Spatial,select_billiards_spatial,C3_entity_mapping_failure,18
CommenSence,select_billiards_common_sense,C1_qwen_guided_condition_failure,17
Spatial,select_poker_spatial,C1_qwen_guided_condition_failure,15
Semantic,select_drink_semantic,C1_qwen_guided_condition_failure,12
CommenSence,select_nth_largest_poker,C1_qwen_guided_condition_failure,11
Semantic,select_book_semantic,C1_qwen_guided_condition_failure,9
Semantic,select_poker_semantic,C1_qwen_guided_condition_failure,8
CommenSence,select_drink_common_sense,C1_qwen_guided_condition_failure,7
Spatial,select_chemistry_tube_spatial,C1_qwen_guided_condition_failure,5
CommenSence,select_chemistry_tube_common_sense,C1_qwen_guided_condition_failure,4
M&T,select_book,C1_qwen_guided_condition_failure,4
M&T,select_chemistry_tube,C1_qwen_guided_condition_failure,4
Spatial,select_book_spatial,C1_qwen_guided_condition_failure,4
M&T,select_toy,C1_qwen_guided_condition_failure,3
M&T,select_billiards,C3_entity_mapping_failure,2
M&T,select_drink,C1_qwen_guided_condition_failure,2
Spatial,insert_bloom_flower,C1_qwen_guided_condition_failure,2
CommenSence,select_fruit_common_sense,C1_qwen_guided_condition_failure,1
CommenSence,select_toy_common_sense,C1_qwen_guided_condition_failure,1
M&T,select_fruit,C1_qwen_guided_condition_failure,1
M&T,select_poker,C1_qwen_guided_condition_failure,1
Semantic,select_chemistry_tube_semantic,C1_qwen_guided_condition_failure,1
Semantic,select_poker_semantic,C2_qwen_conversion_failure,1
Semantic,select_toy_semantic,C1_qwen_guided_condition_failure,1
Spatial,select_toy_spatial,C3_entity_mapping_failure,1
