category,task,rows,B1_condition_failure,B0_official_eligible,B5_nondeterministic_mismatch,B3_native_exception,B4_timeout
CommenSence,add_condiment_common_sense,1,1,,,,
CommenSence,insert_flower_common_sense,1,,1,,,
CommenSence,select_billiards_common_sense,1,,1,,,
CommenSence,select_chemistry_tube_common_sense,1,,1,,,
CommenSence,select_drink_common_sense,1,,1,,,
CommenSence,select_fruit_common_sense,1,,1,,,
CommenSence,select_nth_largest_poker,1,,,1,,
CommenSence,select_toy_common_sense,1,,1,,,
M&T,add_condiment,1,1,,,,
M&T,insert_flower,1,1,,,,
M&T,select_billiards,1,,1,,,
M&T,select_book,1,,1,,,
M&T,select_chemistry_tube,1,,1,,,
M&T,select_drink,1,,1,,,
M&T,select_fruit,1,,1,,,
M&T,select_poker,1,,1,,,
M&T,select_toy,1,,1,,,
PhysicsLaw,density_qa,1,,1,,,
PhysicsLaw,friction_qa,1,1,,,,
PhysicsLaw,magnetism_qa,1,1,,,,
PhysicsLaw,reflection_qa,1,,,,1,
PhysicsLaw,speed_of_sound_qa,1,,,1,,
PhysicsLaw,thermal_expansion_qa,1,1,,,,
Semantic,add_condiment_semantic,1,1,,,,
Semantic,insert_flower_semantic,1,1,,,,
Semantic,select_billiards_semantic,1,,,,1,
Semantic,select_book_semantic,1,,1,,,
Semantic,select_chemistry_tube_semantic,1,,1,,,
Semantic,select_drink_semantic,1,,,,,1
Semantic,select_fruit_semantic,1,,1,,,
Semantic,select_poker_semantic,1,,1,,,
Semantic,select_toy_semantic,1,,1,,,
Spatial,add_condiment_spatial,1,1,,,,
Spatial,insert_bloom_flower,1,1,,,,
Spatial,select_billiards_spatial,1,,1,,,
Spatial,select_book_spatial,1,,,1,,
Spatial,select_chemistry_tube_spatial,1,,1,,,
Spatial,select_fruit_spatial,1,,,,1,
Spatial,select_poker_spatial,1,,1,,,
Spatial,select_toy_spatial,1,,1,,,
