"category","task","rows","B1_condition_failure","B0_official_eligible","B5_nondeterministic_mismatch","B3_native_exception","B4_timeout"
"CommenSence","insert_flower_common_sense","2","","2","","",""
"CommenSence","select_billiards_common_sense","2","","2","","",""
"CommenSence","select_chemistry_tube_common_sense","2","","2","","",""
"CommenSence","select_drink_common_sense","2","","2","","",""
"CommenSence","select_fruit_common_sense","2","","2","","",""
"CommenSence","select_nth_largest_poker","2","","2","","",""
"M&T","select_billiards","2","","2","","",""
"M&T","select_book","2","","2","","",""
"M&T","select_chemistry_tube","2","","2","","",""
"M&T","select_fruit","2","","2","","",""
"M&T","select_poker","2","","2","","",""
"Semantic","select_book_semantic","2","","2","","",""
"Semantic","select_chemistry_tube_semantic","2","","2","","",""
"Semantic","select_drink_semantic","2","","2","","",""
"Semantic","select_fruit_semantic","2","","2","","",""
"Spatial","select_billiards_spatial","2","","2","","",""
"Spatial","select_book_spatial","2","","2","","",""
"Spatial","select_chemistry_tube_spatial","2","","2","","",""
"Spatial","select_poker_spatial","2","","2","","",""
"Spatial","select_toy_spatial","2","","2","","",""
