category,task,rows,success,success_rate,C1,C2,C3,C4
CommenSence,insert_flower_common_sense,27,20,74.07%,7,0,0,0
CommenSence,select_billiards_common_sense,97,26,26.80%,60,11,0,0
CommenSence,select_chemistry_tube_common_sense,84,72,85.71%,12,0,0,0
CommenSence,select_drink_common_sense,41,29,70.73%,12,0,0,0
CommenSence,select_fruit_common_sense,97,74,76.29%,23,0,0,0
CommenSence,select_nth_largest_poker,99,21,21.21%,55,23,0,0
CommenSence,select_toy_common_sense,74,69,93.24%,5,0,0,0
M&T,add_condiment,1,0,0.00%,1,0,0,0
M&T,insert_flower,31,16,51.61%,15,0,0,0
M&T,select_billiards,100,14,14.00%,62,22,2,0
M&T,select_book,73,42,57.53%,30,1,0,0
M&T,select_chemistry_tube,94,77,81.91%,17,0,0,0
M&T,select_drink,44,32,72.73%,12,0,0,0
M&T,select_fruit,97,70,72.16%,27,0,0,0
M&T,select_poker,100,7,7.00%,21,72,0,0
M&T,select_toy,76,68,89.47%,8,0,0,0
PhysicsLaw,density_qa,9,0,0.00%,0,9,0,0
PhysicsLaw,friction_qa,9,0,0.00%,0,9,0,0
PhysicsLaw,magnetism_qa,6,0,0.00%,0,6,0,0
PhysicsLaw,speed_of_sound_qa,11,0,0.00%,0,11,0,0
PhysicsLaw,thermal_expansion_qa,7,0,0.00%,0,7,0,0
Semantic,insert_flower_semantic,26,19,73.08%,7,0,0,0
Semantic,select_book_semantic,78,43,55.13%,33,2,0,0
Semantic,select_chemistry_tube_semantic,94,85,90.43%,9,0,0,0
Semantic,select_drink_semantic,40,15,37.50%,22,3,0,0
Semantic,select_fruit_semantic,97,91,93.81%,4,2,0,0
Semantic,select_poker_semantic,100,26,26.00%,48,25,0,1
Semantic,select_toy_semantic,72,63,87.50%,4,5,0,0
Spatial,insert_bloom_flower,28,15,53.57%,13,0,0,0
Spatial,select_billiards_spatial,60,0,0.00%,24,0,36,0
Spatial,select_book_spatial,85,33,38.82%,52,0,0,0
Spatial,select_chemistry_tube_spatial,92,25,27.17%,67,0,0,0
Spatial,select_poker_spatial,100,29,29.00%,69,2,0,0
Spatial,select_toy_spatial,84,12,14.29%,71,0,1,0
