variant,status_code,count
SR,C0_qwen_guided_success,14
SR,C1_qwen_guided_condition_failure,218
SR,C2_qwen_conversion_failure,48
SR,C3_entity_mapping_failure,19
SR,C4_unsupported_qwen_skill,1
NF,C0_qwen_guided_success,51
NF,C1_qwen_guided_condition_failure,101
NF,C2_qwen_conversion_failure,97
NF,C3_entity_mapping_failure,51
R1,C0_qwen_guided_success,75
R1,C1_qwen_guided_condition_failure,118
R1,C2_qwen_conversion_failure,35
R1,C3_entity_mapping_failure,72
R2,C0_qwen_guided_success,41
R2,C1_qwen_guided_condition_failure,120
R2,C2_qwen_conversion_failure,68
R2,C3_entity_mapping_failure,71
R3,C0_qwen_guided_success,85
R3,C1_qwen_guided_condition_failure,76
R3,C2_qwen_conversion_failure,54
R3,C3_entity_mapping_failure,85
R4,C0_qwen_guided_success,78
R4,C1_qwen_guided_condition_failure,79
R4,C2_qwen_conversion_failure,67
R4,C3_entity_mapping_failure,76
R3_MF,C0_qwen_guided_success,60
R3_MF,C1_qwen_guided_condition_failure,39
R3_MF,C2_qwen_conversion_failure,72
R3_MF,C3_entity_mapping_failure,129
R3_MO,C0_qwen_guided_success,50
R3_MO,C1_qwen_guided_condition_failure,164
R3_MO,C2_qwen_conversion_failure,36
R3_MO,C3_entity_mapping_failure,50
R3_SHUF,C0_qwen_guided_success,33
R3_SHUF,C1_qwen_guided_condition_failure,40
R3_SHUF,C2_qwen_conversion_failure,179
R3_SHUF,C3_entity_mapping_failure,48
