condition,initial_status,post_status,count
R3,C1_qwen_guided_condition_failure,C0_qwen_guided_success,307
R3,C1_qwen_guided_condition_failure,C1_qwen_guided_condition_failure,258
R3,C1_qwen_guided_condition_failure,C2_qwen_conversion_failure,38
R3,C1_qwen_guided_condition_failure,C3_entity_mapping_failure,216
R3,C2_qwen_conversion_failure,C0_qwen_guided_success,18
R3,C2_qwen_conversion_failure,C1_qwen_guided_condition_failure,42
R3,C2_qwen_conversion_failure,C2_qwen_conversion_failure,107
R3,C2_qwen_conversion_failure,C3_entity_mapping_failure,1
R3,C3_entity_mapping_failure,C1_qwen_guided_condition_failure,2
R3,C3_entity_mapping_failure,C2_qwen_conversion_failure,16
R3,C3_entity_mapping_failure,C3_entity_mapping_failure,21
R3,C4_unsupported_qwen_skill,C0_qwen_guided_success,1
SR,C1_qwen_guided_condition_failure,C0_qwen_guided_success,36
SR,C1_qwen_guided_condition_failure,C1_qwen_guided_condition_failure,783
SR,C2_qwen_conversion_failure,C2_qwen_conversion_failure,168
SR,C3_entity_mapping_failure,C3_entity_mapping_failure,39
SR,C4_unsupported_qwen_skill,C4_unsupported_qwen_skill,1
